phrase,english
EAT BREAD,Eat Bread.
EAT COFFEE,Eat Coffee.
EAT COLD,Eat Cold.
EAT EGG,Eat Egg.
EAT FRIDAY,Eat Friday.
EAT HERE,Eat Here.
EAT HOT,Eat Hot.
EAT LONGANISA,Eat Longanisa.
EAT MAYBE,Eat Maybe.
EAT MONDAY,Eat Monday.
EAT MORE,Eat More.
EAT NAME,Eat Name.
EAT ORANGE,Eat Orange.
EAT PINK,Eat Pink.
EAT RED,Eat Red.
EAT RICE,Eat Rice.
EAT SATURDAY,Eat Saturday.
EAT SUNDAY,Eat Sunday.
EAT THURSDAY,Eat Thursday.
EAT TODAY,Eat Today.
EAT TOMORROW,Eat Tomorrow.
EAT TUESDAY,Eat Tuesday.
EAT VIOLET,Eat Violet.
EAT WEDNESDAY,Eat Wednesday.
EAT WHATEVER,Eat Whatever.
EAT WHITE,Eat White.
EAT YELLOW,Eat Yellow.
EGG,Egg.
EGG BREAD,Egg and Bread.
EGG EGG,Egg.
EGG LONGANISA,Egg and Longanisa.
EGG RICE,Egg and Rice.
EIGHT,Eight.
FIVE,Five.
FOUR,Four.
FRIDAY,Friday.
FRIDAY FRIDAY,Friday.
FRIDAY MONDAY,Friday Monday.
FRIDAY SATURDAY,Friday Saturday.
FRIDAY SUNDAY,Friday Sunday.
FRIDAY THURSDAY,Friday Thursday.
FRIDAY TODAY,Friday Today.
FRIDAY TOMORROW,Friday Tomorrow.
FRIDAY TUESDAY,Friday Tuesday.
FRIDAY WEDNESDAY,Friday Wednesday.
GOOD AFTERNOON,Good Afternoon
GOOD AFTERNOON BYE,Good Afternoon Bye.
GOOD AFTERNOON DEAF,Good Afternoon Deaf.
GOOD AFTERNOON GOOD AFTERNOON,Good Afternoon
GOOD AFTERNOON GOOD EVENING,Good Afternoon Good Evening.
GOOD AFTERNOON GOOD MORNING,Good Afternoon Good Morning.
GOOD AFTERNOON I,Good Afternoon I.
GOOD AFTERNOON OK,Good Afternoon Ok.
GOOD AFTERNOON PARENTS,Good Afternoon Parents.
GOOD AFTERNOON PLEASE,Good Afternoon Please.
GOOD AFTERNOON SORRY,Good Afternoon Sorry.
GOOD AFTERNOON THANK YOU,Good Afternoon Thank You.
GOOD AFTERNOON YOU,Good Afternoon You.
GOOD AFTERNOON YOURE WELCOME,Good Afternoon Youre Welcome.
GOOD EVENING,Good Evening
GOOD EVENING BYE,Good Evening Bye.
GOOD EVENING DEAF,Good Evening Deaf.
GOOD EVENING GOOD AFTERNOON,Good Evening Good Afternoon.
GOOD EVENING GOOD EVENING,Good Evening
GOOD EVENING GOOD MORNING,Good Evening Good Morning.
GOOD EVENING I,Good Evening I.
GOOD EVENING OK,Good Evening Ok.
GOOD EVENING PARENTS,Good Evening Parents.
GOOD EVENING PLEASE,Good Evening Please.
GOOD EVENING SORRY,Good Evening Sorry.
GOOD EVENING THANK YOU,Good Evening Thank You.
GOOD EVENING YOU,Good Evening You.
GOOD EVENING YOURE WELCOME,Good Evening Youre Welcome.
GOOD MORNING,Good Morning
GOOD MORNING BYE,Good Morning Bye.
GOOD MORNING DEAF,Good Morning Deaf.
GOOD MORNING GOOD AFTERNOON,Good Morning Good Afternoon.
GOOD MORNING GOOD EVENING,Good Morning Good Evening.
GOOD MORNING GOOD MORNING,Good Morning
GOOD MORNING I,Good Morning I.
GOOD MORNING OK,Good Morning Ok.
GOOD MORNING PARENTS,Good Morning Parents.
GOOD MORNING PLEASE,Good Morning Please.
GOOD MORNING SORRY,Good Morning Sorry.
GOOD MORNING THANK YOU,Good Morning Thank You.
GOOD MORNING YOU,Good Morning You.
GOOD MORNING YOURE WELCOME,Good Morning Youre Welcome.
HERE,Here.
HERE BREAD,Here Bread.
HERE COFFEE,Here Coffee.
HERE COLD,Here Cold.
HERE DEAF,Here Deaf.
HERE EGG,Here Egg.
HERE FRIDAY,Here Friday.
HERE HOT,Here Hot.
HERE I,Here I.
HERE LONGANISA,Here Longanisa.
HERE MONDAY,Here Monday.
HERE ORANGE,Here Orange.
HERE PINK,Here Pink.
HERE RED,Here Red.
HERE RICE,Here Rice.
HERE SATURDAY,Here Saturday.
HERE SUNDAY,Here Sunday.
HERE THURSDAY,Here Thursday.
HERE TODAY,Here Today.
HERE TOMORROW,Here Tomorrow.
HERE TUESDAY,Here Tuesday.
HERE VIOLET,Here Violet.
HERE WEDNESDAY,Here Wednesday.
HERE WHITE,Here White.
HERE YELLOW,Here Yellow.
HERE YOU,Here You.
HOT,Hot.
HOT COFFEE,Hot coffee.
HOT COLD,Hot Cold.
HOT HOT,Hot.
HOW,How?
HOW BREAD,How Bread?
HOW COFFEE,How Coffee?
HOW COLD,How Cold?
HOW DEAF,How Deaf?
HOW EGG,How Egg?
HOW FRIDAY,How Friday?
HOW HERE,How Here?
HOW HOT,How Hot?
HOW I,How I?
HOW LONGANISA,How Longanisa?
HOW MAYBE,How Maybe?
HOW MONDAY,How Monday?
HOW MORE,How More?
HOW NAME,How name?
HOW ORANGE,How Orange?
HOW PINK,How Pink?
HOW RED,How Red?
HOW RICE,How Rice?
HOW SATURDAY,How Saturday?
HOW SUNDAY,How Sunday?
HOW THURSDAY,How Thursday?
HOW TODAY,How Today?
HOW TOMORROW,How Tomorrow?
HOW TUESDAY,How Tuesday?
HOW VIOLET,How Violet?
HOW WEDNESDAY,How Wednesday?
HOW WHATEVER,How Whatever?
HOW WHITE,How White?
HOW YELLOW,How Yellow?
HOW YOU,How You?
I,I.
I CORRECT,I Correct.
I DON'T KNOW,I Don'T Know.
I DRINK,I Drink.
I DRINK BREAD,I drink bread.
I DRINK COFFEE,I drink coffee.
I DRINK COLD,I drink cold.
I DRINK EGG,I drink egg.
I DRINK HERE,I drink here.
I DRINK HOT,I drink hot.
I DRINK LONGANISA,I drink longanisa.
I DRINK MORE,I drink more.
I DRINK ORANGE,I drink orange.
I DRINK PINK,I drink pink.
I DRINK RED,I drink red.
I DRINK RICE,I drink rice.
I DRINK VIOLET,I drink violet.
I DRINK WHITE,I drink white.
I DRINK YELLOW,I drink yellow.
I EAT,I Eat.
I EAT BREAD,I eat bread.
I EAT COFFEE,I eat coffee.
I EAT COLD,I eat cold.
I EAT EGG,I eat egg.
I EAT HERE,I eat here.
I EAT HOT,I eat hot.
I EAT LONGANISA,I eat longanisa.
I EAT MORE,I eat more.
I EAT ORANGE,I eat orange.
I EAT PINK,I eat pink.
I EAT RED,I eat red.
I EAT RICE,I eat rice.
I EAT VIOLET,I eat violet.
I EAT WHITE,I eat white.
I EAT YELLOW,I eat yellow.
I KNOW,I know.
I LIKE,I Like.
I LIKE BREAD,I like bread.
I LIKE COFFEE,I like coffee.
I LIKE COLD,I like cold.
I LIKE EGG,I like egg.
I LIKE HERE,I like here.
I LIKE HOT,I like hot.
I LIKE LONGANISA,I like longanisa.
I LIKE MORE,I like more.
I LIKE ORANGE,I like orange.
I LIKE PINK,I like pink.
I LIKE RED,I like red.
I LIKE RICE,I like rice.
I LIKE VIOLET,I like violet.
I LIKE WHITE,I like white.
I LIKE YELLOW,I like yellow.
I LIVE,I Live.
I LOVE,I Love.
I LOVE BREAD,I love bread.
I LOVE COFFEE,I love coffee.
I LOVE COLD,I love cold.
I LOVE EGG,I love egg.
I LOVE HERE,I love here.
I LOVE HOT,I love hot.
I LOVE LONGANISA,I love longanisa.
I LOVE MORE,I love more.
I LOVE ORANGE,I love orange.
I LOVE PINK,I love pink.
I LOVE RED,I love red.
I LOVE RICE,I love rice.
I LOVE VIOLET,I love violet.
I LOVE WHITE,I love white.
I LOVE YELLOW,I love yellow.
I NO,I No.
I STOP,I Stop.
I UNDERSTAND,I understand.
I WANT,I Want.
I WANT BREAD,I want bread.
I WANT COFFEE,I want coffee.
I WANT COLD,I want cold.
I WANT EGG,I want egg.
I WANT HERE,I want here.
I WANT HOT,I want hot.
I WANT LONGANISA,I want longanisa.
I WANT MORE,I want more.
I WANT ORANGE,I want orange.
I WANT ORANGE PINK,I want orange and pink.
I WANT ORANGE RED,I want orange and red.
I WANT ORANGE VIOLET,I want orange and violet.
I WANT ORANGE WHITE,I want orange and white.
I WANT ORANGE YELLOW,I want orange and yellow.
I WANT PINK,I want pink.
I WANT PINK ORANGE,I want pink and orange.
I WANT PINK RED,I want pink and red.
I WANT PINK VIOLET,I want pink and violet.
I WANT PINK WHITE,I want pink and white.
I WANT PINK YELLOW,I want pink and yellow.
I WANT RED,I want red.
I WANT RED ORANGE,I want red and orange.
I WANT RED PINK,I want red and pink.
I WANT RED VIOLET,I want red and violet.
I WANT RED WHITE,I want red and white.
I WANT RED YELLOW,I want red and yellow.
I WANT RICE,I want rice.
I WANT VIOLET,I want violet.
I WANT VIOLET ORANGE,I want violet and orange.
I WANT VIOLET PINK,I want violet and pink.
I WANT VIOLET RED,I want violet and red.
I WANT VIOLET WHITE,I want violet and white.
I WANT VIOLET YELLOW,I want violet and yellow.
I WANT WHITE,I want white.
I WANT WHITE ORANGE,I want white and orange.
I WANT WHITE PINK,I want white and pink.
I WANT WHITE RED,I want white and red.
I WANT WHITE VIOLET,I want white and violet.
I WANT WHITE YELLOW,I want white and yellow.
I WANT YELLOW,I want yellow.
I WANT YELLOW ORANGE,I want yellow and orange.
I WANT YELLOW PINK,I want yellow and pink.
I WANT YELLOW RED,I want yellow and red.
I WANT YELLOW VIOLET,I want yellow and violet.
I WANT YELLOW WHITE,I want yellow and white.
I WRONG,I am wrong.
I YES,I Yes.
KNOW,Know.
KNOW CORRECT,Know Correct.
KNOW DEAF,Know Deaf.
KNOW DON'T KNOW,Know Don'T Know.
KNOW I,Know I.
KNOW KNOW,Know.
KNOW NO,Know No.
KNOW UNDERSTAND,Know Understand.
KNOW WRONG,Know Wrong.
KNOW YES,Know Yes.
KNOW YOU,Know You.
LIKE,Like.
LIKE BREAD,Like Bread.
LIKE COFFEE,Like Coffee.
LIKE COLD,Like Cold.
LIKE EGG,Like Egg.
LIKE FRIDAY,Like Friday.
LIKE HERE,Like Here.
LIKE HOT,Like Hot.
LIKE LONGANISA,Like Longanisa.
LIKE MAYBE,Like Maybe.
LIKE MONDAY,Like Monday.
LIKE MORE,Like More.
LIKE NAME,Like Name.
LIKE ORANGE,Like Orange.
LIKE PINK,Like Pink.
LIKE RED,Like Red.
LIKE RICE,Like Rice.
LIKE SATURDAY,Like Saturday.
LIKE SUNDAY,Like Sunday.
LIKE THURSDAY,Like Thursday.
LIKE TODAY,Like Today.
LIKE TOMORROW,Like Tomorrow.
LIKE TUESDAY,Like Tuesday.
LIKE VIOLET,Like Violet.
LIKE WEDNESDAY,Like Wednesday.
LIKE WHATEVER,Like Whatever.
LIKE WHITE,Like White.
LIKE YELLOW,Like Yellow.
LIVE,Live.
LIVE BREAD,Live Bread.
LIVE COFFEE,Live Coffee.
LIVE COLD,Live Cold.
LIVE EGG,Live Egg.
LIVE FRIDAY,Live Friday.
LIVE HERE,Live Here.
LIVE HOT,Live Hot.
LIVE LONGANISA,Live Longanisa.
LIVE MAYBE,Live Maybe.
LIVE MONDAY,Live Monday.
LIVE MORE,Live More.
LIVE NAME,Live Name.
LIVE ORANGE,Live Orange.
LIVE PINK,Live Pink.
LIVE RED,Live Red.
LIVE RICE,Live Rice.
LIVE SATURDAY,Live Saturday.
LIVE SUNDAY,Live Sunday.
LIVE THURSDAY,Live Thursday.
LIVE TODAY,Live Today.
LIVE TOMORROW,Live Tomorrow.
LIVE TUESDAY,Live Tuesday.
LIVE VIOLET,Live Violet.
LIVE WEDNESDAY,Live Wednesday.
LIVE WHATEVER,Live Whatever.
LIVE WHITE,Live White.
LIVE YELLOW,Live Yellow.
LONGANISA,Longanisa.
LONGANISA BREAD,Longanisa and Bread.
LONGANISA EGG,Longanisa and Egg.
LONGANISA LONGANISA,Longanisa.
LONGANISA RICE,Longanisa and Rice.
LOVE,Love.
LOVE BREAD,Love Bread.
LOVE COFFEE,Love Coffee.
LOVE COLD,Love Cold.
LOVE EGG,Love Egg.
LOVE FRIDAY,Love Friday.
LOVE HERE,Love Here.
LOVE HOT,Love Hot.
LOVE LONGANISA,Love Longanisa.
LOVE MAYBE,Love Maybe.
LOVE MONDAY,Love Monday.
LOVE MORE,Love More.
LOVE NAME,Love Name.
LOVE ORANGE,Love Orange.
LOVE PINK,Love Pink.
LOVE RED,Love Red.
LOVE RICE,Love Rice.
LOVE SATURDAY,Love Saturday.
LOVE SUNDAY,Love Sunday.
LOVE THURSDAY,Love Thursday.
LOVE TODAY,Love Today.
LOVE TOMORROW,Love Tomorrow.
LOVE TUESDAY,Love Tuesday.
LOVE VIOLET,Love Violet.
LOVE WEDNESDAY,Love Wednesday.
LOVE WHATEVER,Love Whatever.
LOVE WHITE,Love White.
LOVE YELLOW,Love Yellow.
MAYBE,Maybe.
MAYBE BREAD,Maybe Bread.
MAYBE COFFEE,Maybe Coffee.
MAYBE COLD,Maybe Cold.
MAYBE DEAF,Maybe Deaf.
MAYBE EGG,Maybe Egg.
MAYBE FRIDAY,Maybe Friday.
MAYBE HOT,Maybe Hot.
MAYBE I,Maybe I.
MAYBE LONGANISA,Maybe Longanisa.
MAYBE MONDAY,Maybe Monday.
MAYBE ORANGE,Maybe Orange.
MAYBE PINK,Maybe Pink.
MAYBE RED,Maybe Red.
MAYBE RICE,Maybe Rice.
MAYBE SATURDAY,Maybe Saturday.
MAYBE SUNDAY,Maybe Sunday.
MAYBE THURSDAY,Maybe Thursday.
MAYBE TODAY,Maybe Today.
MAYBE TOMORROW,Maybe Tomorrow.
MAYBE TUESDAY,Maybe Tuesday.
MAYBE VIOLET,Maybe Violet.
MAYBE WEDNESDAY,Maybe Wednesday.
MAYBE WHITE,Maybe White.
MAYBE YELLOW,Maybe Yellow.
MAYBE YOU,Maybe You.
MONDAY,Monday.
MONDAY FRIDAY,Monday Friday.
MONDAY MONDAY,Monday.
MONDAY SATURDAY,Monday Saturday.
MONDAY SUNDAY,Monday Sunday.
MONDAY THURSDAY,Monday Thursday.
MONDAY TODAY,Monday Today.
MONDAY TOMORROW,Monday Tomorrow.
MONDAY TUESDAY,Monday Tuesday.
MONDAY WEDNESDAY,Monday Wednesday.
MORE,More.
MORE BREAD,More Bread.
MORE COFFEE,More Coffee.
MORE COLD,More Cold.
MORE DEAF,More Deaf.
MORE EGG,More Egg.
MORE FRIDAY,More Friday.
MORE HOT,More Hot.
MORE I,More I.
MORE LONGANISA,More Longanisa.
MORE MONDAY,More Monday.
MORE ORANGE,More Orange.
MORE PINK,More Pink.
MORE RED,More Red.
MORE RICE,More Rice.
MORE SATURDAY,More Saturday.
MORE SUNDAY,More Sunday.
MORE THURSDAY,More Thursday.
MORE TODAY,More Today.
MORE TOMORROW,More Tomorrow.
MORE TUESDAY,More Tuesday.
MORE VIOLET,More Violet.
MORE WEDNESDAY,More Wednesday.
MORE WHITE,More White.
MORE YELLOW,More Yellow.
MORE YOU,More You.
NAME,Name.
NINE,Nine.
NO,No.
NO CORRECT,No Correct.
NO DEAF,No Deaf.
NO DON'T KNOW,No Don'T Know.
NO I,No I.
NO KNOW,No Know.
NO NO,No.
NO UNDERSTAND,No Understand.
NO WRONG,"No, wrong."
NO YES,No Yes.
NO YOU,No You.
OK,Ok
OK BYE,Ok Bye.
OK DEAF,Ok Deaf.
OK GOOD AFTERNOON,Ok Good Afternoon.
OK GOOD EVENING,Ok Good Evening.
OK GOOD MORNING,Ok Good Morning.
OK I,Ok I.
OK OK,Ok
OK PARENTS,Ok Parents.
OK PLEASE,Ok Please.
OK SORRY,Ok Sorry.
OK THANK YOU,Ok Thank You.
OK YOU,Ok You.
OK YOURE WELCOME,Ok Youre Welcome.
ONE,One.
ORANGE,Orange.
ORANGE ORANGE,Orange.
ORANGE PINK,Orange and Pink.
ORANGE RED,Orange and Red.
ORANGE VIOLET,Orange and Violet.
ORANGE WHITE,Orange and White.
ORANGE YELLOW,Orange and Yellow.
PARENTS,Parents.
PINK,Pink.
PINK ORANGE,Pink and Orange.
PINK PINK,Pink.
PINK RED,Pink and Red.
PINK VIOLET,Pink and Violet.
PINK WHITE,Pink and White.
PINK YELLOW,Pink and Yellow.
PLEASE,Please
PLEASE BYE,Please Bye.
PLEASE DEAF,Please Deaf.
PLEASE GOOD AFTERNOON,Please Good Afternoon.
PLEASE GOOD EVENING,Please Good Evening.
PLEASE GOOD MORNING,Please Good Morning.
PLEASE I,Please I.
PLEASE OK,Please Ok.
PLEASE PARENTS,Please Parents.
PLEASE PLEASE,Please
PLEASE SORRY,Please Sorry.
PLEASE STOP,Please stop.
PLEASE THANK YOU,Please Thank You.
PLEASE YOU,Please You.
PLEASE YOURE WELCOME,Please Youre Welcome.
RED,Red.
RED ORANGE,Red and Orange.
RED PINK,Red and Pink.
RED RED,Red.
RED VIOLET,Red and Violet.
RED WHITE,Red and White.
RED YELLOW,Red and Yellow.
RICE,Rice.
RICE BREAD,Rice and Bread.
RICE EGG,Rice and Egg.
RICE LONGANISA,Rice and Longanisa.
RICE RICE,Rice.
SATURDAY,Saturday.
SATURDAY FRIDAY,Saturday Friday.
SATURDAY MONDAY,Saturday Monday.
SATURDAY SATURDAY,Saturday.
SATURDAY SUNDAY,Saturday Sunday.
SATURDAY THURSDAY,Saturday Thursday.
SATURDAY TODAY,Saturday Today.
SATURDAY TOMORROW,Saturday Tomorrow.
SATURDAY TUESDAY,Saturday Tuesday.
SATURDAY WEDNESDAY,Saturday Wednesday.
SEVEN,Seven.
SIX,Six.
SORRY,Sorry
SORRY BYE,Sorry Bye.
SORRY DEAF,Sorry Deaf.
SORRY GOOD AFTERNOON,Sorry Good Afternoon.
SORRY GOOD EVENING,Sorry Good Evening.
SORRY GOOD MORNING,Sorry Good Morning.
SORRY I,Sorry I.
SORRY OK,Sorry Ok.
SORRY PARENTS,Sorry Parents.
SORRY PLEASE,Sorry Please.
SORRY SORRY,Sorry
SORRY THANK YOU,Sorry Thank You.
SORRY YOU,Sorry You.
SORRY YOURE WELCOME,Sorry Youre Welcome.
STOP,Stop.
STOP BREAD,Stop Bread.
STOP COFFEE,Stop Coffee.
STOP COLD,Stop Cold.
STOP EGG,Stop Egg.
STOP FRIDAY,Stop Friday.
STOP HERE,Stop Here.
STOP HOT,Stop Hot.
STOP LONGANISA,Stop Longanisa.
STOP MAYBE,Stop Maybe.
STOP MONDAY,Stop Monday.
STOP MORE,Stop More.
STOP NAME,Stop Name.
STOP ORANGE,Stop Orange.
STOP PINK,Stop Pink.
STOP RED,Stop Red.
STOP RICE,Stop Rice.
STOP SATURDAY,Stop Saturday.
STOP SUNDAY,Stop Sunday.
STOP THURSDAY,Stop Thursday.
STOP TODAY,Stop Today.
STOP TOMORROW,Stop Tomorrow.
STOP TUESDAY,Stop Tuesday.
STOP VIOLET,Stop Violet.
STOP WEDNESDAY,Stop Wednesday.
STOP WHATEVER,Stop Whatever.
STOP WHITE,Stop White.
STOP YELLOW,Stop Yellow.
SUNDAY,Sunday.
SUNDAY FRIDAY,Sunday Friday.
SUNDAY MONDAY,Sunday Monday.
SUNDAY SATURDAY,Sunday Saturday.
SUNDAY SUNDAY,Sunday.
SUNDAY THURSDAY,Sunday Thursday.
SUNDAY TODAY,Sunday Today.
SUNDAY TOMORROW,Sunday Tomorrow.
SUNDAY TUESDAY,Sunday Tuesday.
SUNDAY WEDNESDAY,Sunday Wednesday.
TEN,Ten.
THANK YOU,Thank You
THANK YOU BYE,Thank You Bye.
THANK YOU DEAF,Thank You Deaf.
THANK YOU GOOD AFTERNOON,Thank You Good Afternoon.
THANK YOU GOOD EVENING,Thank You Good Evening.
THANK YOU GOOD MORNING,Thank You Good Morning.
THANK YOU I,Thank You I.
THANK YOU OK,Thank You Ok.
THANK YOU PARENTS,Thank You Parents.
THANK YOU PLEASE,Thank You Please.
THANK YOU SORRY,Thank You Sorry.
THANK YOU THANK YOU,Thank You
THANK YOU YOU,Thank You You.
THANK YOU YOURE WELCOME,Thank you. You're welcome.
THREE,Three.
THURSDAY,Thursday.
THURSDAY FRIDAY,Thursday Friday.
THURSDAY MONDAY,Thursday Monday.
THURSDAY SATURDAY,Thursday Saturday.
THURSDAY SUNDAY,Thursday Sunday.
THURSDAY THURSDAY,Thursday.
THURSDAY TODAY,Thursday Today.
THURSDAY TOMORROW,Thursday Tomorrow.
THURSDAY TUESDAY,Thursday Tuesday.
THURSDAY WEDNESDAY,Thursday Wednesday.
TODAY,Today.
TODAY FRIDAY,Today is Friday.
TODAY MONDAY,Today is Monday.
TODAY SATURDAY,Today is Saturday.
TODAY SUNDAY,Today is Sunday.
TODAY THURSDAY,Today is Thursday.
TODAY TODAY,Today.
TODAY TOMORROW,Today Tomorrow.
TODAY TUESDAY,Today is Tuesday.
TODAY WEDNESDAY,Today is Wednesday.
TOMORROW,Tomorrow.
TOMORROW FRIDAY,Tomorrow is Friday.
TOMORROW MONDAY,Tomorrow is Monday.
TOMORROW SATURDAY,Tomorrow is Saturday.
TOMORROW SUNDAY,Tomorrow is Sunday.
TOMORROW THURSDAY,Tomorrow is Thursday.
TOMORROW TODAY,Tomorrow Today.
TOMORROW TOMORROW,Tomorrow.
TOMORROW TUESDAY,Tomorrow is Tuesday.
TOMORROW WEDNESDAY,Tomorrow is Wednesday.
TUESDAY,Tuesday.
TUESDAY FRIDAY,Tuesday Friday.
TUESDAY MONDAY,Tuesday Monday.
TUESDAY SATURDAY,Tuesday Saturday.
TUESDAY SUNDAY,Tuesday Sunday.
TUESDAY THURSDAY,Tuesday Thursday.
TUESDAY TODAY,Tuesday Today.
TUESDAY TOMORROW,Tuesday Tomorrow.
TUESDAY TUESDAY,Tuesday.
TUESDAY WEDNESDAY,Tuesday Wednesday.
TWO,Two.
UNDERSTAND,Understand.
UNDERSTAND CORRECT,Understand Correct.
UNDERSTAND DEAF,Understand Deaf.
UNDERSTAND DON'T KNOW,Understand Don'T Know.
UNDERSTAND I,Understand I.
UNDERSTAND KNOW,Understand Know.
UNDERSTAND NO,Understand No.
UNDERSTAND UNDERSTAND,Understand.
UNDERSTAND WRONG,Understand Wrong.
UNDERSTAND YES,Understand Yes.
UNDERSTAND YOU,Understand You.
VIOLET,Violet.
VIOLET ORANGE,Violet and Orange.
VIOLET PINK,Violet and Pink.
VIOLET RED,Violet and Red.
VIOLET VIOLET,Violet.
VIOLET WHITE,Violet and White.
VIOLET YELLOW,Violet and Yellow.
WANT,Want.
WANT BREAD,Want Bread.
WANT COFFEE,Want Coffee.
WANT COLD,Want Cold.
WANT EGG,Want Egg.
WANT FRIDAY,Want Friday.
WANT HERE,Want Here.
WANT HOT,Want Hot.
WANT LONGANISA,Want Longanisa.
WANT MAYBE,Want Maybe.
WANT MONDAY,Want Monday.
WANT MORE,Want More.
WANT NAME,Want Name.
WANT ORANGE,Want Orange.
WANT PINK,Want Pink.
WANT RED,Want Red.
WANT RICE,Want Rice.
WANT SATURDAY,Want Saturday.
WANT SUNDAY,Want Sunday.
WANT THURSDAY,Want Thursday.
WANT TODAY,Want Today.
WANT TOMORROW,Want Tomorrow.
WANT TUESDAY,Want Tuesday.
WANT VIOLET,Want Violet.
WANT WEDNESDAY,Want Wednesday.
WANT WHATEVER,Want Whatever.
WANT WHITE,Want White.
WANT YELLOW,Want Yellow.
WEDNESDAY,Wednesday.
WEDNESDAY FRIDAY,Wednesday Friday.
WEDNESDAY MONDAY,Wednesday Monday.
WEDNESDAY SATURDAY,Wednesday Saturday.
WEDNESDAY SUNDAY,Wednesday Sunday.
WEDNESDAY THURSDAY,Wednesday Thursday.
WEDNESDAY TODAY,Wednesday Today.
WEDNESDAY TOMORROW,Wednesday Tomorrow.
WEDNESDAY TUESDAY,Wednesday Tuesday.
WEDNESDAY WEDNESDAY,Wednesday.
WHAT,What?
WHAT BREAD,What Bread?
WHAT COFFEE,What Coffee?
WHAT COLD,What Cold?
WHAT DEAF,What Deaf?
WHAT EGG,What Egg?
WHAT FRIDAY,What Friday?
WHAT HERE,What Here?
WHAT HOT,What Hot?
WHAT I,What I?
WHAT LONGANISA,What Longanisa?
WHAT MAYBE,What Maybe?
WHAT MONDAY,What Monday?
WHAT MORE,What More?
WHAT NAME,What is your name?
WHAT ORANGE,What Orange?
WHAT PINK,What Pink?
WHAT RED,What Red?
WHAT RICE,What Rice?
WHAT SATURDAY,What Saturday?
WHAT SUNDAY,What Sunday?
WHAT THURSDAY,What Thursday?
WHAT TODAY,What Today?
WHAT TOMORROW,What Tomorrow?
WHAT TUESDAY,What Tuesday?
WHAT VIOLET,What Violet?
WHAT WEDNESDAY,What Wednesday?
WHAT WHATEVER,What Whatever?
